AI CHESSATHON MATCH LOG
=======================

MATCH
  Round          Swiss round 6
  Team           catfish
  Colour         White
  Opponent       AlphaBeta
  Opening        London System
  Start FEN      r1bqk2r/pp2bppp/2n1pn2/2pp4/3P4/2PBP1B1/PP1N1PPP/R2QK1NR b KQkq - 3 7
  You moved      Second
  Machine        w-be9a5e
  Finished       2026-09-11 13:19:37 UTC
  Match ID       1757acc8-8299-4d78-83b8-e27ecd490307

INIT
  Ready in       24.6 s
  Budget         90.0 s
  Used           27 percent

CLOCK
  Base           120.0 s plus 0.5 s per move
  Moves          130
  Time used      177.7 s
  Slowest        10.0 s on move 23
  Fastest        0.2 s on move 102
  Average        1.4 s
  Left at end    7.3 s

RESULT
  Drawn by insufficient material
  Game lasted 348.2 s

MOVES
    #  move          time     clock left
  nativesearch e5g3 depth 13 score 9 nodes 2037485 3229ms clock 112219
  nativesearch d2f3 depth 13 score 36 nodes 2192163 3456ms clock 109488
  nativesearch g3f4 depth 12 score 51 nodes 855550 1373ms clock 105441
  nativesearch h2h4 depth 14 score 57 nodes 1427457 2364ms clock 104565
  nativesearch f3e5 depth 13 score 64 nodes 1439319 2279ms clock 102699
  nativesearch a4a5 depth 12 score 104 nodes 1774741 2862ms clock 100621
  nativesearch d1a4 depth 11 score 100 nodes 614846 1029ms clock 98257
  nativesearch d3e4 depth 13 score 109 nodes 1888498 3231ms clock 97726
  nativesearch a4a5 depth 12 score 100 nodes 1085503 1733ms clock 94992
  nativesearch a5b5 depth 15 score 101 nodes 2004749 3112ms clock 93757
  nativesearch g2g4 depth 16 score 103 nodes 2336086 3523ms clock 91143
  nativesearch b5d7 depth 15 score 73 nodes 1526905 2901ms clock 88117
  nativesearch d7e6 depth 15 score 115 nodes 1890966 2817ms clock 85714
  nativesearch f4e5 depth 15 score 130 nodes 763891 1130ms clock 83394
  nativesearch g4g5 depth 16 score 103 nodes 5260418 8288ms clock 82762
  nativesearch g5g6 depth 16 score 87 nodes 4398206 6954ms clock 74972
  nativesearch e6g6 depth 15 score 55 nodes 956756 1301ms clock 68515
  nativesearch g6g5 depth 14 score 54 nodes 917955 1281ms clock 67712
  nativesearch h4g5 depth 17 score 32 nodes 7651109 10030ms clock 66929
  nativesearch h1h2 depth 17 score 38 nodes 2955513 3974ms clock 57397
  nativesearch a1a2 depth 17 score 14 nodes 1192038 2087ms clock 53921
  nativesearch f2f4 depth 13 score 22 nodes 911837 1146ms clock 52332
  nativesearch e1f2 depth 16 score -23 nodes 1943594 2706ms clock 51684
  nativesearch f2g3 depth 15 score -30 nodes 2035802 2587ms clock 49476
  nativesearch g3f3 depth 17 score -30 nodes 2326769 3118ms clock 47387
  nativesearch a2a1 depth 16 score -30 nodes 958650 1186ms clock 44767
  nativesearch f3f4 depth 17 score -30 nodes 2176846 3035ms clock 44079
  nativesearch h2h8 depth 16 score -30 nodes 2669552 3752ms clock 41543
  nativesearch h8h2 depth 16 score -30 nodes 1527830 1922ms clock 38288
  nativesearch f4g4 depth 17 score -30 nodes 761176 926ms clock 36864
  nativesearch h2h8 depth 17 score -30 nodes 623859 788ms clock 36436
  nativesearch h8e8 depth 13 score -30 nodes 959333 1583ms clock 36064
  nativesearch g4h4 depth 14 score -23 nodes 2747835 3989ms clock 34979
  nativesearch a1g1 depth 13 score 32 nodes 940569 1130ms clock 31488
  nativesearch h4g4 depth 15 score -35 nodes 3580225 4380ms clock 30855
  nativesearch e8e6 depth 15 score -150 nodes 2198812 2540ms clock 26974
  nativesearch g5g6 depth 14 score -30 nodes 2031361 2444ms clock 24932
  nativesearch e5f4 depth 14 score -30 nodes 546892 647ms clock 22986
  nativesearch g1a1 depth 15 score -30 nodes 319079 390ms clock 22838
  nativesearch f4g3 depth 15 score -30 nodes 626593 848ms clock 22946
  nativesearch g4h4 depth 14 score -30 nodes 1627771 1972ms clock 22597
  nativesearch e6d6 depth 15 score -12 nodes 2215688 2909ms clock 21122
  nativesearch d6d8 depth 15 score -30 nodes 971074 1128ms clock 18711
  nativesearch d8d5 depth 16 score -3 nodes 1071195 1206ms clock 18080
  nativesearch d5g5 depth 15 score -3 nodes 387461 448ms clock 17372
  nativesearch g3e5 depth 15 score -3 nodes 604870 682ms clock 17421
  nativesearch e3e4 depth 13 score -16 nodes 1119919 1455ms clock 17236
  nativesearch g5g2 depth 14 score -30 nodes 598028 652ms clock 16279
  nativesearch h4h3 depth 14 score -30 nodes 686692 733ms clock 16125
  nativesearch a1a2 depth 13 score -30 nodes 475850 498ms clock 15890
  nativesearch h3g3 depth 11 score -62 nodes 462496 588ms clock 15891
  nativesearch e5c7 depth 13 score -69 nodes 881880 947ms clock 15801
  nativesearch a2e2 depth 18 score 33 nodes 1440661 1248ms clock 15352
  nativesearch c7d6 depth 21 score 34 nodes 967385 881ms clock 14602
  nativesearch g3
  [702 bytes dropped]
  29770 178ms clock 11028
  nativesearch g2f2 depth 20 score 20 nodes 889261 657ms clock 11349
  nativesearch f2f3 depth 20 score 22 nodes 545740 415ms clock 11190
  nativesearch f3e3 depth 20 score 20 nodes 534348 410ms clock 11273
  nativesearch a3c5 depth 20 score 22 nodes 1250189 1014ms clock 11361
  nativesearch e3d4 depth 19 score 22 nodes 289539 223ms clock 10845
  nativesearch c5a3 depth 18 score 22 nodes 2117582 1711ms clock 11121
  nativesearch a3b4 depth 16 score 7 nodes 597956 470ms clock 9908
  nativesearch d4e5 depth 19 score 22 nodes 2762105 2266ms clock 9936
  nativesearch b4a3 depth 19 score 21 nodes 331355 251ms clock 8169
  nativesearch e5d4 depth 17 score 22 nodes 553183 385ms clock 8416
  nativesearch d4e3 depth 17 score 49 nodes 612579 482ms clock 8434
  nativesearch e3d2 depth 18 score 50 nodes 801956 615ms clock 8451
  nativesearch d2c2 depth 17 score 50 nodes 1070740 805ms clock 8333
  nativesearch c2c1 depth 13 score 50 nodes 347670 261ms clock 8026
  nativesearch c1b1 depth 15 score 46 nodes 747295 558ms clock 8264
  nativesearch a3b4 depth 15 score 48 nodes 264346 224ms clock 8203
  nativesearch b4a5 depth 15 score 50 nodes 416351 304ms clock 8478
  nativesearch b1a2 depth 14 score 45 nodes 300349 225ms clock 8671
  nativesearch a2a3 depth 13 score 45 nodes 205916 164ms clock 8944
  nativesearch a5b6 depth 16 score 19 nodes 808110 598ms clock 9277
  nativesearch b6d4 depth 19 score 19 nodes 1415228 1001ms clock 9058
  nativesearch a3b2 depth 20 score 21 nodes 786531 534ms clock 8555
  nativesearch d4f6 depth 20 score 21 nodes 886558 619ms clock 8519
  nativesearch f6g7 depth 22 score 21 nodes 1092683 741ms clock 8398
  nativesearch g7f8 depth 21 score 21 nodes 802923 550ms clock 8155
  nativesearch f8e7 depth 22 score 21 nodes 946244 654ms clock 8102
  nativesearch e7b4 depth 19 score 20 nodes 621799 411ms clock 7946
  nativesearch b4a3 depth 19 score 20 nodes 706317 529ms clock 8033
  nativesearch a3e7 depth 20 score 20 nodes 943641 678ms clock 8003
  nativesearch e7g5 depth 22 score 20 nodes 1745088 1211ms clock 7823
  nativesearch g5f6 depth 20 score 20 nodes 445616 312ms clock 7110
  nativesearch f6h8 depth 18 score 19 nodes 329195 230ms clock 7297
  nativesearch h8d4 depth 16 score 19 nodes 222751 152ms clock 7565
  nativesearch d4e5 depth 20 score 20 nodes 362231 236ms clock 7911
  nativesearch e5g3 depth 21 score 19 nodes 803495 759ms clock 8173
  nativesearch b2a3 depth 13 score 17 nodes 374668 267ms clock 7912
  nativesearch g3e5 depth 16 score 19 nodes 609654 459ms clock 8143
  nativesearch a3b2 depth 15 score 19 nodes 1921478 1627ms clock 8182
  nativesearch e5f6 depth 17 score 5 nodes 400791 284ms clock 7053
  nativesearch f6h8 depth 19 score -16 nodes 1532971 1097ms clock 7268
  nativesearch h8e5 depth 20 score -16 nodes 803567 538ms clock 6669
  nativesearch e5d6 depth 20 score -16 nodes 773463 511ms clock 6629
  nativesearch b2c1 depth 20 score -14 nodes 867664 553ms clock 6616
  nativesearch d6c7 depth 22 score -14 nodes 546884 350ms clock 6562
  nativesearch c7a5 depth 23 score -14 nodes 723287 440ms clock 6710
  nativesearch a5b6 depth 24 score -14 nodes 2317193 1406ms clock 6768
  nativesearch b6e3 depth 21 score -14 nodes 869237 548ms clock 5860
  nativesearch e3h6 depth 21 score -14 nodes 560829 316ms clock 5810
  nativesearch h6g7 depth 22 score -14 nodes 841330 486ms clock 5993
  nativesearch g7e5 depth 22 score -14 nodes 708293 415ms clock 6005
  nativesearch e5f4 depth 24 score -14 nodes 650870 360ms clock 6088
  nativesearch f4g3 depth 25 score -14 nodes 863676 483ms clock 6226
  nativesearch g3f2 depth 24 score -14 nodes 492091 306ms clock 6241
  nativesearch f2b6 depth 25 score -14 nodes 573021 342ms clock 6433
  nativesearch b6d8 depth 22 score -14 nodes 435199 268ms clock 6590
  nativesearch d8f6 depth 18 score -30 nodes 251497 169ms clock 6819
  nativesearch f6g5 depth 22 score -30 nodes 1172132 804ms clock 7149
  nativesearch g5e7 depth 33 score -30 nodes 587381 356ms clock 6843
  nativesearch e7d8 depth 40 score -30 nodes 412117 244ms clock 6985
  nativesearch d8f6 depth 33 score -30 nodes 540467 344ms clock 7239
  nativesearch f6c3 depth 32 score -30 nodes 1002733 589ms clock 7393

Email hello@aichessathon.com with this file if anything here is unclear.
