AI CHESSATHON MATCH LOG
=======================

MATCH
  Round          Qualifier round 56
  Team           catfish
  Colour         Black
  Opponent       No More Ammo
  Opening        Petroff Defence
  Start FEN      rnbqkb1r/pp3ppp/2p5/3p4/3Pn3/3B1N2/PPP2PPP/RNBQK2R b KQkq - 1 7
  You moved      First
  Machine        w-0a44b0
  Finished       2026-09-07 17:09:13 UTC
  Match ID       b80e15cf-f385-41d2-a3fe-43429b9dccef

INIT
  Ready in       40.5 s
  Budget         90.0 s
  Used           45 percent

CLOCK
  Base           120.0 s plus 0.5 s per move
  Moves          194
  Time used      207.6 s
  Slowest        23.1 s on move 1
  Fastest        0.0 s on move 194
  Average        1.1 s
  Left at end    9.4 s

RESULT
  Drawn by fifty moves
  Game lasted 417.2 s

MOVES
    #  move          time     clock left
  141  Ne8           0.2 s        5.0 s
  142  Kd7           0.9 s        4.6 s
  143  Nd6           0.3 s        4.8 s
  144  Kxd6          0.2 s        5.1 s
  145  Ke5           0.4 s        5.2 s
  146  Ke4           0.2 s        5.6 s
  147  Kf3           0.3 s        5.8 s
  148  Rd8           0.8 s        5.4 s
  149  Kg2           0.2 s        5.7 s
  150  Rh8           0.6 s        5.6 s
  151  Ra8           0.3 s        5.8 s
  152  Kg3           0.8 s        5.5 s
  153  Kf3           0.3 s        5.7 s
  154  Kf2           0.2 s        6.0 s
  155  Ke2           0.3 s        6.2 s
  156  Kd2           0.2 s        6.5 s
  157  Rh8           0.5 s        6.4 s
  158  Kc1           0.5 s        6.4 s
  159  Rh7+          0.4 s        6.6 s
  160  Rh1           0.1 s        6.9 s
  161  Rh8           0.3 s        7.2 s
  162  Kd1           0.3 s        7.3 s
  163  Rc8           0.3 s        7.5 s
  164  Ra8           0.3 s        7.7 s
  165  Kc1           0.7 s        7.5 s
  166  Kb1           0.3 s        7.7 s
  167  Rf8           0.3 s        7.9 s
  168  Kc1           0.4 s        8.0 s
  169  Kd2           0.5 s        8.0 s
  170  Ke2           0.2 s        8.3 s
  171  Rg8           0.6 s        8.2 s
  172  Kd2           0.8 s        7.9 s
  173  Rd8           0.3 s        8.1 s
  174  Rh8           0.4 s        8.2 s
  175  Rh5+          0.4 s        8.4 s
  176  Rh4+          0.4 s        8.4 s
  177  Kc2           0.5 s        8.4 s
  178  Kb3           0.5 s        8.4 s
  179  Rh1           0.8 s        8.2 s
  180  Kc3           0.4 s        8.3 s
  181  Rg1+          0.3 s        8.4 s
  182  Rf1+          0.5 s        8.4 s
  183  Re1+          0.7 s        8.2 s
  184  Re7           0.5 s        8.2 s
  185  Kb2           0.9 s        7.8 s
  186  Ka3           0.2 s        8.1 s
  187  Re6           0.7 s        7.9 s
  188  Ka2           0.5 s        7.8 s
  189  Rf6+          0.5 s        7.8 s
  190  Re6+          0.5 s        7.8 s
  191  Ra6           0.3 s        7.9 s
  192  Ra4+          0.0 s        8.4 s
  193  Ra5+          0.0 s        8.9 s
  194  Ra6           0.0 s        9.4 s

OUTPUT
  8,215 bytes on stderr

  init: native engine still compiling after 40.0s
  native engine ready after 61.0s
  compile wait 20937 ms in get_move: native engine ready
  nativesearch f8d6 depth 12 score -18 nodes 1803317 2163ms clock 99063
  nativesearch e8g8 depth 11 score -21 nodes 808986 996ms clock 97396
  nativesearch f8e8 depth 11 score -5 nodes 1327166 1616ms clock 96897
  nativesearch c8f5 depth 10 score 1 nodes 1013746 1318ms clock 95780
  nativesearch h7h6 depth 11 score 32 nodes 1691545 2099ms clock 94959
  nativesearch f5h7 depth 12 score 38 nodes 1104259 1367ms clock 93358
  nativesearch c6c5 depth 13 score 70 nodes 2297962 2980ms clock 92489
  nativesearch c5c4 depth 12 score 31 nodes 3132120 3825ms clock 90007
  nativesearch d5e4 depth 13 score 37 nodes 2729076 3249ms clock 86680
  nativesearch h7e4 depth 13 score 41 nodes 3470964 4074ms clock 83929
  nativesearch d6f8 depth 13 score 27 nodes 1949762 2289ms clock 80353
  nativesearch e4h7 depth 13 score 24 nodes 1909409 2179ms clock 78561
  nativesearch b8d7 depth 13 score 31 nodes 2593625 2946ms clock 76880
  nativesearch a8c8 depth 13 score 50 nodes 3444598 3873ms clock 74431
  nativesearch b7b5 depth 12 score 22 nodes 3253357 3713ms clock 71056
  nativesearch d7b6 depth 13 score 57 nodes 3000448 3469ms clock 67841
  nativesearch d8d5 depth 13 score 58 nodes 4839535 5492ms clock 64870
  nativesearch d5f5 depth 13 score 48 nodes 1815512 1987ms clock 59876
  nativesearch h7f5 depth 13 score 36 nodes 1287882 1378ms clock 58387
  nativesearch f8d6 depth 13 score 44 nodes 1627801 1690ms clock 57507
  nativesearch b6a4 depth 13 score 38 nodes 4688597 4876ms clock 56315
  nativesearch a7a5 depth 13 score 34 nodes 1442950 1533ms clock 51937
  nativesearch e8e1 depth 15 score 48 nodes 4181337 4223ms clock 50902
  nativesearch c8e8 depth 16 score 52 nodes 2631805 2622ms clock 47177
  nativesearch b5b4 depth 15 score 82 nodes 2076503 2007ms clock 45053
  nativesearch a5b4 depth 14 score 50 nodes 1428888 1344ms clock 43544
  nativesearch b4b3 depth 13 score 173 nodes 1871743 1815ms clock 42698
  nativesearch f5d3 depth 14 score 170 nodes 1261233 1235ms clock 41380
  nativesearch d6f4 depth 15 score 131 nodes 2223362 2083ms clock 40644
  nativesearch e8b8 depth 16 score 131 nodes 1571136 1481ms clock 39059
  nativesearch b8b6 depth 15 score 86 nodes 7928029 7493ms clock 38075
  nativesearch b6b5 depth 14 score 96 nodes 3944040 3698ms clock 31080
  nativesearch d3c2 depth 13 score 72 nodes 2935098 2740ms clock 27880
  nativesearch c2e4 depth 14 score 72 nodes 681470 630ms clock 25638
  nativesearch e4d3 depth 15 score 68 nodes 1693774 1565ms clock 25505
  nativesearch a4c3 depth 14 score 66 nodes 945318 872ms clock 24439
  nativesearch d3c4 depth 15 score 67 nodes 1835059 1607ms clock 24064
  nativesearch c4e6 depth 15 score 20 nodes 1816491 1588ms clock 22955
  nativesearch e6d7 depth 17 score 44 nodes 1710534 1466ms clock 21865
  nativesearch c3e2 depth 17 score 44 nodes 1473921 1292ms clock 20898
  nativesearch b5b4 depth 16 score 44 nodes 890403 779ms clock 20104
  nativesearch b4e4 depth 14 score 17 nodes 3848542 3224ms clock 19822
  nativesearch e2f4 depth 14 score 23 nodes 2585288 2142ms clock 17096
  nativesearch f4h5 depth 13 score 23 nodes 3326281 2734ms clock 15452
  nativesearch e4f4 depth 15 score 14 nodes 2992855 2423ms clock 13216
  nativesearch f4f5 depth 15 score 14 nodes 620329 531ms clock 11291
  nativesearch h5f6 depth 13 score 14 nodes 685741 565ms clock 11258
  nativesearch f6g4 depth 12 score 16 nodes 580897 461ms clock 11191
  nativesearch g4h6 depth 12 score 22 nodes 581283 454ms clock 11228
  nativesearch g8h7 depth 12 score 6 nodes 1239788 993ms clock 11272
  nativesearch f5a5 depth 12 score 16 nodes 727369 574ms clock 10777
  nativesearch a5a2 depth 9 score 18 nodes 325776 270ms clock 10702
  nativesearch a2a3 depth 10 score 10 nodes 348767 284ms clock 10930
  nativesearch h6g8 depth 10 score -16 nodes 728418 601ms clock 11143
  nativesearch a3a1 depth 10 score -44 nodes 702183 587ms clock 11041
  nativesearch g8f6 depth 9 score -41 nodes 555516 447ms clock 10952
  nativesearch a1f1 depth 11 score -83 nodes 1508800 1263ms clock 11003
  nativesearch f6d5 depth 13 score -99 nodes 2066448 
  [4,904 bytes dropped]
  ativesearch f5g7 depth 9 score -3 nodes 1090883 786ms clock 5080
  nativesearch e6f5 depth 10 score 8 nodes 718087 511ms clock 4792
  nativesearch g7e8 depth 9 score 7 nodes 532333 385ms clock 4779
  nativesearch f5e6 depth 8 score 14 nodes 1242518 915ms clock 4892
  nativesearch e8f6 depth 9 score 8 nodes 1046271 779ms clock 4475
  nativesearch f6e4 depth 10 score 2 nodes 456365 338ms clock 4195
  nativesearch e2d2 depth 8 score 7 nodes 644911 479ms clock 4355
  nativesearch e4d6 depth 8 score 7 nodes 162502 121ms clock 4374
  nativesearch d6e8 depth 8 score 7 nodes 320682 239ms clock 4751
  nativesearch e6d7 depth 9 score -30 nodes 1287195 945ms clock 5010
  nativesearch e8d6 depth 9 score -10 nodes 350848 252ms clock 4563
  nativesearch d7d6 depth 9 score -14 nodes 299416 206ms clock 4808
  nativesearch d6e5 depth 10 score -11 nodes 570263 366ms clock 5101
  nativesearch e5e4 depth 9 score -11 nodes 237193 152ms clock 5233
  nativesearch e4f3 depth 9 score -8 nodes 508287 325ms clock 5579
  nativesearch d2d8 depth 12 score -5 nodes 1308061 820ms clock 5753
  nativesearch f3g2 depth 10 score -5 nodes 332198 208ms clock 5431
  nativesearch d8h8 depth 11 score -7 nodes 1039332 647ms clock 5721
  nativesearch h8a8 depth 10 score -8 nodes 427727 263ms clock 5573
  nativesearch g2g3 depth 11 score -7 nodes 1277813 812ms clock 5808
  nativesearch g3f3 depth 11 score -8 nodes 551861 336ms clock 5493
  nativesearch f3f2 depth 10 score -8 nodes 260993 163ms clock 5656
  nativesearch f2e2 depth 11 score -8 nodes 467381 291ms clock 5991
  nativesearch e2d2 depth 10 score -7 nodes 355818 232ms clock 6199
  nativesearch a8h8 depth 11 score -7 nodes 871328 542ms clock 6465
  nativesearch d2c1 depth 10 score -6 nodes 777572 489ms clock 6421
  nativesearch h8h7 depth 10 score -8 nodes 555434 350ms clock 6430
  nativesearch h7h1 depth 10 score -8 nodes 195644 128ms clock 6578
  nativesearch h1h8 depth 10 score -14 nodes 453975 280ms clock 6949
  nativesearch c1d1 depth 12 score -12 nodes 541312 329ms clock 7167
  nativesearch h8c8 depth 11 score -16 nodes 546611 337ms clock 7336
  nativesearch c8a8 depth 11 score -13 nodes 482609 291ms clock 7497
  nativesearch d1c1 depth 12 score -14 nodes 1122582 685ms clock 7704
  nativesearch c1b1 depth 11 score -14 nodes 468856 294ms clock 7518
  nativesearch a8f8 depth 10 score -16 nodes 511669 321ms clock 7722
  nativesearch b1c1 depth 12 score -14 nodes 702332 422ms clock 7900
  nativesearch c1d2 depth 12 score -7 nodes 808506 495ms clock 7975
  nativesearch d2e2 depth 10 score -7 nodes 282208 171ms clock 7979
  nativesearch f8g8 depth 11 score -8 nodes 962786 586ms clock 8305
  nativesearch e2d2 depth 13 score -7 nodes 1299822 790ms clock 8218
  nativesearch g8d8 depth 13 score -7 nodes 524698 318ms clock 7927
  nativesearch d8h8 depth 12 score -6 nodes 642503 383ms clock 8107
  nativesearch h8h5 depth 11 score -7 nodes 581669 354ms clock 8221
  nativesearch h5h4 depth 12 score -7 nodes 659813 418ms clock 8366
  nativesearch d2c2 depth 13 score -7 nodes 812371 509ms clock 8447
  nativesearch c2b3 depth 11 score -7 nodes 800915 514ms clock 8436
  nativesearch h4h1 depth 10 score -9 nodes 1172680 749ms clock 8420
  nativesearch b3c3 depth 10 score -9 nodes 625109 397ms clock 8169
  nativesearch h1g1 depth 10 score -9 nodes 536066 337ms clock 8270
  nativesearch g1f1 depth 11 score -9 nodes 769937 494ms clock 8431
  nativesearch f1e1 depth 12 score -9 nodes 1073511 694ms clock 8436
  nativesearch e1e7 depth 12 score -9 nodes 794638 510ms clock 8240
  nativesearch c3b2 depth 12 score -9 nodes 1448691 919ms clock 8229
  nativesearch b2a3 depth 11 score -9 nodes 333185 207ms clock 7808
  nativesearch e7e6 depth 12 score -30 nodes 1239678 724ms clock 8099
  nativesearch a3a2 depth 16 score -30 nodes 944830 546ms clock 7874
  nativesearch e6f6 depth 21 score -30 nodes 976099 521ms clock 7826
  nativesearch f6e6 depth 32 score -30 nodes 1052206 521ms clock 7804
  nativesearch e6a6 depth 40 score -30 nodes 690299 340ms clock 7780
  nativesearch a6a4 depth 40 score -30 nodes 30627 16ms clock 7939
  nativesearch a4a5 depth 40 score -30 nodes 8650 5ms clock 8421
  nativesearch a5a6 depth 40 score -30 nodes 600 1ms clock 8915

Email hello@aichessathon.com with this file if anything here is unclear.
