AI CHESSATHON MATCH LOG
=======================

MATCH
  Round          Rated 101
  Team           catfish
  Colour         Black
  Opponent       THE ROOOOOKKK!!!!
  Opening        French Tarrasch
  Start FEN      rnbqkb1r/pp3ppp/5n2/2pp4/3P4/8/PPPNBPPP/R1BQK1NR w KQkq - 2 6
  You moved      Second
  Machine        w-d5eece
  Finished       2026-09-10 17:08:52 UTC
  Match ID       c8ec8a68-97cb-44cc-8a7f-516cf417413e

INIT
  Ready in       26.3 s
  Budget         90.0 s
  Used           29 percent

CLOCK
  Base           120.0 s plus 0.5 s per move
  Moves          183
  Time used      204.4 s
  Slowest        6.1 s on move 22
  Fastest        0.0 s on move 183
  Average        1.1 s
  Left at end    7.1 s

RESULT
  Drawn by fifty moves
  Game lasted 410.3 s

MOVES
    #  move          time     clock left
  138  Kh3           0.8 s        3.3 s
  139  Kg3           0.2 s        3.6 s
  140  Kf2           0.2 s        4.0 s
  141  Kg2           0.8 s        3.7 s
  142  Qh8+          0.3 s        3.9 s
  143  Qg8+          0.2 s        4.1 s
  144  Qg7+          0.3 s        4.3 s
  145  Qf6+          0.8 s        4.0 s
  146  Qf7+          0.2 s        4.3 s
  147  Qf3+          0.8 s        4.0 s
  148  Qd1+          0.8 s        3.7 s
  149  Qc1+          0.7 s        3.5 s
  150  Qb1+          0.1 s        3.8 s
  151  Qa1+          0.7 s        3.7 s
  152  Qd1+          0.1 s        4.0 s
  153  Qg4+          0.2 s        4.3 s
  154  Qd7+          0.2 s        4.7 s
  155  Qd8+          0.5 s        4.7 s
  156  Qc8+          0.2 s        5.0 s
  157  Qg8+          0.6 s        4.9 s
  158  Qg7+          0.6 s        4.8 s
  159  Qg4+          0.4 s        4.8 s
  160  Qg6+          0.4 s        4.9 s
  161  Qf7+          0.4 s        5.1 s
  162  Qg6+          0.3 s        5.3 s
  163  Qe8+          0.2 s        5.6 s
  164  Qf8+          0.3 s        5.8 s
  165  Qf7+          0.4 s        5.9 s
  166  Qf6+          0.3 s        6.1 s
  167  Qf2+          0.5 s        6.1 s
  168  Qe1+          0.1 s        6.5 s
  169  Qe2+          0.3 s        6.6 s
  170  Qe4+          0.7 s        6.4 s
  171  Qe6+          0.8 s        6.2 s
  172  Qa6+          0.5 s        6.1 s
  173  Qf1+          0.4 s        6.2 s
  174  Qf6+          0.5 s        6.2 s
  175  Qf4+          0.4 s        6.3 s
  176  Qd4+          0.7 s        6.1 s
  177  Qf2+          0.4 s        6.3 s
  178  Qf3+          0.2 s        6.6 s
  179  Qf7+          0.7 s        6.4 s
  180  Qf3+          0.7 s        6.2 s
  181  Qf2+          0.3 s        6.4 s
  182  Qe1+          0.3 s        6.6 s
  183  Qe5+          0.0 s        7.1 s

OUTPUT
  8,215 bytes on stderr

  native engine ready after 25.6s
  init: native engine ready after 25.6s
  nativesearch f8e7 depth 15 score 2 nodes 3799310 5758ms clock 120000
  nativesearch e8g8 depth 15 score 6 nodes 1662682 2425ms clock 114740
  nativesearch e7c5 depth 15 score 15 nodes 645313 988ms clock 112813
  nativesearch d5c4 depth 14 score 5 nodes 2729962 4229ms clock 112322
  nativesearch b8c6 depth 13 score 18 nodes 997147 1516ms clock 108591
  nativesearch c5e3 depth 13 score 6 nodes 832149 1272ms clock 107572
  nativesearch c8e6 depth 14 score 1 nodes 2739214 4196ms clock 106798
  nativesearch d8b6 depth 12 score 9 nodes 1902065 2873ms clock 103101
  nativesearch e6c4 depth 12 score -7 nodes 1349289 1971ms clock 100724
  nativesearch b6b5 depth 14 score -15 nodes 2420228 3516ms clock 99250
  nativesearch f8d8 depth 15 score -30 nodes 2900715 4175ms clock 96233
  nativesearch d8d1 depth 15 score -30 nodes 2831037 4047ms clock 92553
  nativesearch a8d8 depth 15 score -12 nodes 3267131 4513ms clock 89004
  nativesearch c6d8 depth 15 score -21 nodes 1667191 2228ms clock 84988
  nativesearch b5d5 depth 12 score -2 nodes 804542 1094ms clock 83258
  nativesearch d5c6 depth 15 score -30 nodes 3475122 4643ms clock 82661
  nativesearch d8e6 depth 16 score -30 nodes 2103818 2716ms clock 78517
  nativesearch c6c5 depth 15 score -30 nodes 1369085 1718ms clock 76298
  nativesearch c5c6 depth 19 score -58 nodes 3530763 4213ms clock 75079
  nativesearch g7f6 depth 18 score -30 nodes 2136262 2293ms clock 71364
  nativesearch c6c3 depth 20 score -30 nodes 2459804 2594ms clock 69568
  nativesearch g8f8 depth 20 score -33 nodes 5833572 6113ms clock 67472
  nativesearch f8e7 depth 18 score -33 nodes 3856378 3981ms clock 61857
  nativesearch e7d6 depth 18 score -30 nodes 2757916 2873ms clock 58374
  nativesearch e6c5 depth 17 score -30 nodes 2998086 3124ms clock 55999
  nativesearch f6f5 depth 19 score -30 nodes 2403510 2530ms clock 53373
  nativesearch b7b6 depth 18 score -30 nodes 2171200 2248ms clock 51341
  nativesearch c5e6 depth 20 score -30 nodes 4839302 4981ms clock 49592
  nativesearch e6c5 depth 19 score -30 nodes 841776 865ms clock 45108
  nativesearch c5e6 depth 19 score -30 nodes 885295 882ms clock 44742
  nativesearch a7a6 depth 19 score -30 nodes 2146321 2155ms clock 44357
  nativesearch e6c5 depth 18 score -30 nodes 1055704 1071ms clock 42701
  nativesearch c5e6 depth 20 score -30 nodes 2086003 2112ms clock 42129
  nativesearch h7h5 depth 19 score -30 nodes 1811067 1852ms clock 40515
  nativesearch e6c5 depth 18 score -30 nodes 788261 805ms clock 39161
  nativesearch c5e6 depth 18 score -30 nodes 1029823 1057ms clock 38853
  nativesearch a6a5 depth 19 score -30 nodes 1405115 1412ms clock 38294
  nativesearch d6c6 depth 21 score -30 nodes 1828557 1828ms clock 37380
  nativesearch a5a4 depth 18 score -30 nodes 1920476 1856ms clock 36049
  nativesearch c6c5 depth 19 score -30 nodes 1019447 1053ms clock 34691
  nativesearch e6g5 depth 19 score -30 nodes 3011733 3035ms clock 34136
  nativesearch g5h3 depth 23 score -30 nodes 1378285 1382ms clock 31599
  nativesearch f5f4 depth 14 score 78 nodes 871932 845ms clock 30715
  nativesearch h3f2 depth 17 score 162 nodes 1050894 1045ms clock 30369
  nativesearch f4g3 depth 18 score 140 nodes 846811 813ms clock 29821
  nativesearch f7f5 depth 18 score 140 nodes 5459662 5199ms clock 29506
  nativesearch f2e4 depth 17 score 54 nodes 5005128 4585ms clock 24804
  nativesearch f5e4 depth 20 score -30 nodes 1062235 957ms clock 20715
  nativesearch e4e3 depth 22 score -30 nodes 1126284 1035ms clock 20256
  nativesearch c5d6 depth 22 score -30 nodes 436458 405ms clock 19719
  nativesearch d6e5 depth 23 score -30 nodes 860260 647ms clock 19812
  nativesearch e5f6 depth 23 score -30 nodes 465525 383ms clock 19663
  nativesearch f6g6 depth 23 score -30 nodes 525441 456ms clock 19778
  nativesearch g6g5 depth 16 score -30 nodes 1020816 947ms clock 19820
  nativesearch g5g4 depth 15 score -30 nodes 2034176 1887ms clock 19371
  nativesearch g4g3 depth 16 score -30 nodes 599624 559ms clock 17983
  nativesearch h5h4 depth 19 score -30 nodes 3005233 2766ms clock 17921
  nativesearch h4h3 depth 18 score -30 nodes 3586864 3252ms clock 15653
  na
  [4,274 bytes dropped]
  155293 137ms clock 4443
  nativesearch h8h1 depth 12 score -30 nodes 699675 621ms clock 4804
  nativesearch h1d5 depth 13 score -30 nodes 1091560 971ms clock 4681
  nativesearch g4h4 depth 9 score -45 nodes 921423 806ms clock 4208
  nativesearch h4g3 depth 11 score -56 nodes 795168 731ms clock 3901
  nativesearch g3f2 depth 11 score -30 nodes 218483 207ms clock 3668
  nativesearch f2g1 depth 10 score -30 nodes 768171 709ms clock 3959
  nativesearch d5b3 depth 9 score -48 nodes 157339 155ms clock 3749
  nativesearch b3c4 depth 9 score -48 nodes 867233 761ms clock 4093
  nativesearch c4d5 depth 5 score -43 nodes 786142 710ms clock 3830
  nativesearch d5c4 depth 7 score -66 nodes 362258 315ms clock 3618
  nativesearch c4d3 depth 7 score -117 nodes 822065 720ms clock 3802
  nativesearch d3a3 depth 7 score -293 nodes 660137 515ms clock 3580
  nativesearch a3f3 depth 8 score -293 nodes 694218 585ms clock 3563
  nativesearch f3a8 depth 6 score -293 nodes 738032 668ms clock 3476
  nativesearch g1g2 depth 8 score -267 nodes 258410 220ms clock 3307
  nativesearch g2h3 depth 7 score -267 nodes 825700 753ms clock 3585
  nativesearch h3g3 depth 8 score -267 nodes 217413 194ms clock 3331
  nativesearch g3f2 depth 10 score -267 nodes 201370 182ms clock 3635
  nativesearch f2g2 depth 9 score -267 nodes 910778 798ms clock 3950
  nativesearch a8h8 depth 7 score -64 nodes 334657 271ms clock 3650
  nativesearch h8g8 depth 8 score -62 nodes 307463 245ms clock 3877
  nativesearch g8g7 depth 9 score -63 nodes 374920 312ms clock 4130
  nativesearch g7f6 depth 8 score -82 nodes 983689 808ms clock 4316
  nativesearch f6f7 depth 7 score -30 nodes 240973 198ms clock 4007
  nativesearch f7f3 depth 10 score -30 nodes 963334 812ms clock 4307
  nativesearch f3d1 depth 7 score -58 nodes 961317 801ms clock 3993
  nativesearch d1c1 depth 8 score -40 nodes 823462 719ms clock 3690
  nativesearch c1b1 depth 11 score -40 nodes 147087 128ms clock 3469
  nativesearch b1a1 depth 9 score -44 nodes 856553 680ms clock 3839
  nativesearch a1d1 depth 10 score -31 nodes 161048 142ms clock 3657
  nativesearch d1g4 depth 11 score -30 nodes 222603 187ms clock 4014
  nativesearch g4d7 depth 11 score -30 nodes 199797 169ms clock 4325
  nativesearch d7d8 depth 14 score -30 nodes 562185 474ms clock 4654
  nativesearch d8c8 depth 13 score -30 nodes 222875 192ms clock 4679
  nativesearch c8g8 depth 14 score -30 nodes 762555 623ms clock 4985
  nativesearch g8g7 depth 14 score -30 nodes 714079 588ms clock 4860
  nativesearch g7g4 depth 14 score -30 nodes 548671 438ms clock 4769
  nativesearch g4g6 depth 14 score -30 nodes 487255 395ms clock 4830
  nativesearch g6f7 depth 15 score -30 nodes 431741 348ms clock 4933
  nativesearch f7g6 depth 15 score -30 nodes 304986 264ms clock 5084
  nativesearch g6e8 depth 15 score -30 nodes 223935 188ms clock 5318
  nativesearch e8f8 depth 14 score -30 nodes 394294 337ms clock 5628
  nativesearch f8f7 depth 14 score -30 nodes 436069 366ms clock 5790
  nativesearch f7f6 depth 14 score -30 nodes 350536 292ms clock 5922
  nativesearch f6f2 depth 16 score -30 nodes 599494 498ms clock 6128
  nativesearch f2e1 depth 16 score -30 nodes 174076 139ms clock 6128
  nativesearch e1e2 depth 16 score -30 nodes 404353 338ms clock 6487
  nativesearch e2e4 depth 16 score -30 nodes 870949 710ms clock 6646
  nativesearch e4e6 depth 17 score -30 nodes 949488 781ms clock 6434
  nativesearch e6a6 depth 18 score -30 nodes 629697 522ms clock 6151
  nativesearch a6f1 depth 15 score -30 nodes 502654 425ms clock 6128
  nativesearch f1f6 depth 17 score -30 nodes 553991 461ms clock 6201
  nativesearch f6f4 depth 17 score -30 nodes 484822 391ms clock 6238
  nativesearch f4d4 depth 16 score -30 nodes 867981 712ms clock 6345
  nativesearch d4f2 depth 16 score -30 nodes 435580 371ms clock 6131
  nativesearch f2f3 depth 13 score -30 nodes 184165 155ms clock 6259
  nativesearch f3f7 depth 16 score -30 nodes 801910 665ms clock 6602
  nativesearch f7f3 depth 18 score -30 nodes 862987 710ms clock 6435
  nativesearch f3f2 depth 19 score -30 nodes 405235 305ms clock 6224
  nativesearch f2e1 depth 21 score -30 nodes 387744 322ms clock 6416
  nativesearch e1e5 depth 40 score -30 nodes 7761 5ms clock 6592

Email hello@aichessathon.com with this file if anything here is unclear.
