AI CHESSATHON MATCH LOG
=======================

MATCH
  Round          Practice round 15
  Team           catfish
  Colour         Black
  Opponent       slopfish
  Opening        Reti Opening
  Start FEN      rnbqk2r/ppp1bppp/4pn2/8/2Pp4/4PNP1/PPQP1PBP/RNB1K2R b KQkq - 0 6
  You moved      First
  Machine        w-2f0760
  Finished       2026-09-12 12:07:16 UTC
  Match ID       833a9716-03c2-4178-bb49-f596642ab6d1

INIT
  Ready in       23.2 s
  Budget         30.0 s
  Used           77 percent

CLOCK
  Base           120.0 s plus 0.5 s per move
  Moves          105
  Time used      165.0 s
  Slowest        7.0 s on move 1
  Fastest        0.0 s on move 63
  Average        1.6 s
  Left at end    7.5 s

RESULT
  Drawn by insufficient material
  Game lasted 332.5 s

MOVES
    #  move          time     clock left
  nativesearch c8b8 depth 13 score 28 nodes 2834457 5235ms clock 82951
  nativesearch c7d8 depth 12 score 11 nodes 651163 1219ms clock 78214
  nativesearch c6e7 depth 14 score 34 nodes 1746850 3274ms clock 77493
  nativesearch a5a4 depth 12 score 30 nodes 806212 1523ms clock 74717
  nativesearch f7f6 depth 11 score 41 nodes 829754 1508ms clock 73692
  nativesearch g8h7 depth 13 score 15 nodes 2500442 4622ms clock 72682
  nativesearch e7g6 depth 12 score -12 nodes 552147 1013ms clock 68558
  nativesearch f8e7 depth 13 score 6 nodes 1972588 3681ms clock 68043
  nativesearch b8b5 depth 14 score 10 nodes 1082596 1991ms clock 64860
  nativesearch d8d7 depth 13 score 0 nodes 2421596 4515ms clock 63366
  nativesearch e6e5 depth 12 score -5 nodes 994369 1903ms clock 59349
  nativesearch a6a7 depth 12 score 14 nodes 1062972 2013ms clock 57944
  nativesearch g6f8 depth 12 score 27 nodes 877853 1709ms clock 56429
  nativesearch d7d5 depth 12 score -4 nodes 1144099 2209ms clock 55218
  nativesearch e8d7 depth 11 score 26 nodes 1051387 2011ms clock 53507
  nativesearch f8d7 depth 12 score 7 nodes 893385 1628ms clock 51994
  nativesearch e7f8 depth 14 score 63 nodes 1823989 3266ms clock 50864
  nativesearch a7b7 depth 13 score 37 nodes 972152 1724ms clock 48095
  nativesearch d7e5 depth 14 score 14 nodes 1074090 1696ms clock 46869
  nativesearch d5e5 depth 14 score -9 nodes 886756 1335ms clock 45671
  nativesearch b5e5 depth 16 score -3 nodes 1083266 1631ms clock 44834
  nativesearch e5b5 depth 16 score -3 nodes 1453558 2144ms clock 43700
  nativesearch h7g6 depth 14 score 15 nodes 1250580 1848ms clock 42054
  nativesearch b5d5 depth 12 score 22 nodes 1487370 2223ms clock 40704
  nativesearch d5c5 depth 14 score 39 nodes 1181716 1709ms clock 38979
  nativesearch c5c2 depth 14 score 81 nodes 1298504 1771ms clock 37767
  nativesearch b7b3 depth 16 score 81 nodes 940155 1236ms clock 36494
  nativesearch b3d3 depth 16 score 59 nodes 2309583 3005ms clock 35756
  nativesearch f8d6 depth 15 score 76 nodes 922156 1180ms clock 33249
  nativesearch d3b3 depth 14 score 86 nodes 1241053 1580ms clock 32567
  nativesearch b3b2 depth 15 score 92 nodes 1221947 1508ms clock 31485
  nativesearch b2b3 depth 15 score 89 nodes 518400 587ms clock 30476
  nativesearch b3a3 depth 16 score 77 nodes 1062146 1151ms clock 30387
  nativesearch d6a3 depth 20 score 78 nodes 2119333 2088ms clock 29735
  nativesearch a3d6 depth 20 score 78 nodes 902719 876ms clock 28145
  nativesearch d6e5 depth 20 score 78 nodes 1144398 1109ms clock 27767
  nativesearch h6h5 depth 22 score 78 nodes 1507295 1410ms clock 27156
  nativesearch h5g4 depth 21 score 77 nodes 3629159 3327ms clock 26244
  nativesearch g6h7 depth 22 score 47 nodes 2897566 2621ms clock 23415
  nativesearch e5c7 depth 18 score 47 nodes 995817 825ms clock 21292
  nativesearch c7a5 depth 20 score 47 nodes 1054141 919ms clock 20965
  nativesearch a5e1 depth 21 score 47 nodes 1200043 1016ms clock 20544
  nativesearch h7h6 depth 22 score 47 nodes 1469676 1228ms clock 20026
  nativesearch e1d2 depth 22 score 47 nodes 649705 549ms clock 19296
  nativesearch d2g5 depth 21 score 47 nodes 4636827 4140ms clock 19245
  nativesearch h6h7 depth 0 score 0 nodes 0 0ms clock 15603
  nativesearch g5d2 depth 18 score 46 nodes 481657 386ms clock 16102
  nativesearch h7g8 depth 20 score 46 nodes 1392557 1169ms clock 16214
  nativesearch d2c3 depth 20 score 46 nodes 1019800 847ms clock 15542
  nativesearch c3e5 depth 19 score 46 nodes 1118866 952ms clock 15193
  nativesearch e5b2 depth 19 score 46 nodes 333304 276ms clock 14740
  nativesearch b2a3 depth 20 score 20 nodes 777554 642ms clock 14961
  nativesearch a3c1 depth 20 score 40 nodes 805994 684ms clock 14816
  nativesearch g8f7 depth 19 score 20 nodes 541104 452ms clock 14631
  nativesearch c1h6 depth 20 score 20 nodes 844837 725ms clock 14677
  nativesearch h6g5 depth 20 score 20 nodes 819033 713ms clock 14450
  nativesearch f7g8 depth 20 score 20 nodes 440221 380ms clock 14234
  nativesearch g8h8 depth 22 score 20 nodes 892538 754ms clock 14352
  nativesearch g5c1 depth 21 score 20 nodes 484018 400ms clock 14095
  nativesearch c1b2 depth 21 score 20 nodes 1062893 898ms clock 14193
  nativesearch h8h7 depth 21 score 20 nodes 738123 614ms clock 13793
  nativesearch b2c3 depth 21 score 20 nodes 577536 471ms clock 13677
  nativesearch c3a5 depth 21 score 20 nodes 889172 720ms clock 13704
  nativesearch a5b4 depth 22 score 20 nodes 786204 652ms clock 13481
  nativesearch h7g8 depth 17 score 20 nodes 704103 554ms clock 13327
  nativesearch g8h8 depth 22 score 20 nodes 1488659 1226ms clock 13271
  nativesearch b4a5 depth 21 score 20 nodes 1049134 897ms clock 12544
  nativesearch a5d2 depth 21 score 20 nodes 1039381 855ms clock 12144
  nativesearch h8h7 depth 22 score 20 nodes 635788 536ms clock 11787
  nativesearch d2c1 depth 22 score 20 nodes 2849321 2426ms clock 11749
  nativesearch c1e3 depth 20 score 20 nodes 808314 652ms clock 9821
  nativesearch e3b6 depth 19 score 20 nodes 754925 636ms clock 9667
  nativesearch h7g8 depth 21 score 20 nodes 1133479 963ms clock 9527
  nativesearch g8f8 depth 19 score 20 nodes 2067586 1713ms clock 9062
  nativesearch g7h6 depth 18 score 9 nodes 1348610 1147ms clock 7847
  nativesearch h6h5 depth 18 score 9 nodes 236730 195ms clock 7199
  nativesearch b6f2 depth 16 score -8 nodes 977364 791ms clock 7502
  nativesearch f2d4 depth 14 score 3 nodes 205157 163ms clock 7209
  nativesearch f6f5 depth 14 score 23 nodes 672194 556ms clock 7544
  nativesearch f5f4 depth 13 score 3 nodes 1760507 1468ms clock 7486
  nativesearch d4e5 depth 14 score -22 nodes 408251 338ms clock 6516
  nativesearch e5b8 depth 13 score -30 nodes 328356 277ms clock 6676
  nativesearch f4f3 depth 14 score -30 nodes 267351 221ms clock 6897
  nativesearch f8g8 depth 18 score -30 nodes 669480 549ms clock 7174
  nativesearch f3f2 depth 17 score -30 nodes 422019 346ms clock 7123
  nativesearch b8a7 depth 21 score -30 nodes 574064 468ms clock 7275
  nativesearch a7c5 depth 23 score -30 nodes 490515 388ms clock 7306
  nativesearch c5f2 depth 40 score -30 nodes 581318 432ms clock 7416

Email hello@aichessathon.com with this file if anything here is unclear.
