AI CHESSATHON MATCH LOG
=======================

MATCH
  Round          Rated 102
  Team           catfish
  Colour         Black
  Opponent       Miskeen
  Opening        Sicilian Closed
  Start FEN      r1bqk2r/pp2ppbp/2np1np1/2p5/P3P3/2NPB1P1/1PP2PBP/R2QK1NR b KQkq - 0 7
  You moved      First
  Machine        w-75c226
  Finished       2026-09-10 18:07:17 UTC
  Match ID       5319c5a9-bf20-4e5a-a74e-18a3f7812f71

INIT
  Ready in       26.7 s
  Budget         90.0 s
  Used           30 percent

CLOCK
  Base           120.0 s plus 0.5 s per move
  Moves          102
  Time used      163.9 s
  Slowest        11.9 s on move 25
  Fastest        0.2 s on move 87
  Average        1.6 s
  Left at end    7.1 s

RESULT
  Drawn by fifty moves
  Game lasted 321.8 s

MOVES
    #  move          time     clock left
  nativesearch f8d8 depth 17 score -30 nodes 2074334 2898ms clock 87384
  nativesearch a7a6 depth 16 score 19 nodes 1461533 2084ms clock 84984
  nativesearch c7a6 depth 16 score -33 nodes 2588509 3667ms clock 83389
  nativesearch h7h5 depth 13 score 19 nodes 742369 1041ms clock 80220
  nativesearch h5h4 depth 14 score -8 nodes 1771782 2447ms clock 79677
  nativesearch a6c7 depth 14 score -24 nodes 1558284 2207ms clock 77728
  nativesearch d8g8 depth 15 score -30 nodes 8308306 11874ms clock 76018
  nativesearch c7d5 depth 15 score -52 nodes 1960795 2804ms clock 64641
  nativesearch f7g6 depth 15 score -47 nodes 4073627 5081ms clock 62333
  nativesearch b4d3 depth 14 score -102 nodes 1129007 1435ms clock 57749
  nativesearch e6d5 depth 14 score -131 nodes 1211801 1568ms clock 56811
  nativesearch d3e5 depth 14 score -119 nodes 906967 1113ms clock 55741
  nativesearch e7e5 depth 16 score -129 nodes 4534622 5336ms clock 55126
  nativesearch e5f6 depth 18 score -112 nodes 6586270 7705ms clock 50287
  nativesearch g8d8 depth 14 score -94 nodes 1486568 1821ms clock 43081
  nativesearch d5d4 depth 14 score -73 nodes 3817276 4216ms clock 41756
  nativesearch d8e8 depth 11 score -70 nodes 827597 1045ms clock 38038
  nativesearch f6e7 depth 11 score -78 nodes 1750473 2034ms clock 37491
  nativesearch e7e3 depth 13 score -55 nodes 1559637 1789ms clock 35955
  nativesearch e8e3 depth 15 score -43 nodes 2174664 2179ms clock 34663
  nativesearch c4c3 depth 14 score -67 nodes 1763584 1742ms clock 32981
  nativesearch e3c3 depth 15 score -69 nodes 1578174 1591ms clock 31737
  nativesearch d4d3 depth 14 score -85 nodes 2147222 2153ms clock 30644
  nativesearch c3c2 depth 15 score -57 nodes 2018656 2041ms clock 28988
  nativesearch c5c4 depth 17 score -57 nodes 655917 673ms clock 27444
  nativesearch h8g7 depth 12 score -52 nodes 1065988 1049ms clock 27270
  nativesearch g7f8 depth 13 score -37 nodes 1008334 1015ms clock 26719
  nativesearch c2h2 depth 14 score -50 nodes 1294639 1242ms clock 26202
  nativesearch h2h4 depth 13 score -51 nodes 1318470 1271ms clock 25458
  nativesearch h4h5 depth 12 score -55 nodes 418187 408ms clock 24685
  nativesearch h5e5 depth 12 score -46 nodes 1393138 1262ms clock 24775
  nativesearch d3d2 depth 11 score -52 nodes 984766 903ms clock 24011
  nativesearch e5f5 depth 12 score -48 nodes 2537334 2376ms clock 23607
  nativesearch f5g5 depth 12 score -45 nodes 1984493 1799ms clock 21729
  nativesearch f8f7 depth 14 score -45 nodes 942941 881ms clock 20428
  nativesearch f7e7 depth 14 score -46 nodes 1584016 1461ms clock 20045
  nativesearch e7e6 depth 11 score -46 nodes 618455 574ms clock 19083
  nativesearch e6d6 depth 11 score -52 nodes 1217768 1123ms clock 19007
  nativesearch d6e7 depth 12 score -58 nodes 709337 625ms clock 18382
  nativesearch g5h5 depth 13 score -58 nodes 437856 374ms clock 18255
  nativesearch h5g5 depth 14 score -57 nodes 721839 610ms clock 18378
  nativesearch g5h5 depth 15 score -56 nodes 2161525 1832ms clock 18266
  nativesearch h5g5 depth 15 score -56 nodes 801164 674ms clock 16933
  nativesearch g5b5 depth 15 score -56 nodes 1256845 1065ms clock 16757
  nativesearch b5b1 depth 11 score -53 nodes 653602 591ms clock 16190
  nativesearch b1b2 depth 14 score -51 nodes 888061 756ms clock 16097
  nativesearch e7f7 depth 11 score -44 nodes 1098401 1096ms clock 15839
  nativesearch b2b4 depth 11 score -43 nodes 1204996 1153ms clock 15241
  nativesearch f7e6 depth 11 score -56 nodes 548865 484ms clock 14584
  nativesearch e6f7 depth 14 score -64 nodes 1600665 1391ms clock 14598
  nativesearch f7e6 depth 12 score -58 nodes 2078356 1893ms clock 13705
  nativesearch b4b5 depth 12 score -52 nodes 374437 318ms clock 12310
  nativesearch b5g5 depth 13 score -52 nodes 1353541 1245ms clock 12490
  nativesearch e6d7 depth 12 score -55 nodes 534111 469ms clock 11743
  nativesearch g5h5 depth 13 score -56 nodes 1230303 1070ms clock 11772
  nativesearch h5g5 depth 14 score -57 nodes 639654 558ms clock 11200
  nativesearch d7e7 depth 15 score -57 nodes 958734 844ms clock 11141
  nativesearch e7e6 depth 16 score -57 nodes 707219 601ms clock 10794
  nativesearch g5e5 depth 12 score -57 nodes 562374 515ms clock 10691
  nativesearch e6e7 depth 13 score -51 nodes 2047976 1750ms clock 10674
  nativesearch e5e4 depth 13 score -57 nodes 944221 852ms clock 9422
  nativesearch e4g4 depth 15 score -57 nodes 1091323 943ms clock 9068
  nativesearch g4g3 depth 12 score -50 nodes 1156623 1040ms clock 8622
  nativesearch g3g4 depth 12 score -48 nodes 931667 837ms clock 8081
  nativesearch e7e6 depth 11 score -50 nodes 716060 646ms clock 7741
  nativesearch e6e5 depth 12 score -50 nodes 634141 529ms clock 7592
  nativesearch g4g5 depth 11 score -49 nodes 981675 891ms clock 7562
  nativesearch g5f5 depth 10 score -42 nodes 393666 373ms clock 7169
  nativesearch e5d6 depth 10 score -40 nodes 212669 188ms clock 7293
  nativesearch d6c7 depth 10 score -43 nodes 799536 723ms clock 7603
  nativesearch c7b6 depth 11 score -53 nodes 706572 664ms clock 7378
  nativesearch b6c5 depth 9 score -50 nodes 222227 218ms clock 7213
  nativesearch f5f8 depth 12 score -48 nodes 816171 761ms clock 7492
  nativesearch c5d5 depth 12 score -48 nodes 1195031 1069ms clock 7230
  nativesearch d5c6 depth 12 score -48 nodes 548909 504ms clock 6659
  nativesearch f8f5 depth 11 score -47 nodes 458113 397ms clock 6652
  nativesearch f5f3 depth 11 score -47 nodes 262239 227ms clock 6749
  nativesearch c6c5 depth 11 score -50 nodes 954930 828ms clock 7019
  nativesearch c5d6 depth 11 score -30 nodes 435730 352ms clock 6686
  nativesearch d6e6 depth 16 score -30 nodes 618902 483ms clock 6832
  nativesearch f3g3 depth 18 score -30 nodes 857815 727ms clock 6846
  nativesearch e6f7 depth 20 score -30 nodes 405245 327ms clock 6615
  nativesearch f7e6 depth 22 score -30 nodes 499403 395ms clock 6787
  nativesearch g3g1 depth 21 score -30 nodes 363733 316ms clock 6891

Email hello@aichessathon.com with this file if anything here is unclear.
