AI CHESSATHON MATCH LOG
=======================

MATCH
  Round          Qualifier round 103
  Team           catfish
  Colour         White
  Opponent       RMFE
  Opening        English Symmetrical
  Start FEN      r1bq1rk1/pp1pppbp/2n2np1/2p5/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 b - - 0 7
  You moved      Second
  Machine        w-4e8c1d
  Finished       2026-09-10 19:08:34 UTC
  Match ID       913e5163-7dd5-448b-becd-d02b16f06aa3

INIT
  Ready in       27.8 s
  Budget         90.0 s
  Used           31 percent

CLOCK
  Base           120.0 s plus 0.5 s per move
  Moves          152
  Time used      187.4 s
  Slowest        7.7 s on move 17
  Fastest        0.0 s on move 87
  Average        1.2 s
  Left at end    8.6 s

RESULT
  Drawn by fifty moves
  Game lasted 379.5 s

MOVES
    #  move          time     clock left
  140  Kd2           0.2 s        7.5 s
  141  Rh1+          0.4 s        7.6 s
  142  Rh8           0.3 s        7.8 s
  143  Kd3           0.9 s        7.4 s
  144  Kc4           0.4 s        7.5 s
  145  Ra8           1.0 s        7.0 s
  146  Kd3           0.5 s        6.9 s
  147  Ke4           0.4 s        7.0 s
  148  Ra4           0.5 s        7.0 s
  149  Ra8           0.3 s        7.2 s
  150  Ra6           0.1 s        7.6 s
  151  Rg6           0.0 s        8.1 s
  152  Re6           0.0 s        8.6 s

OUTPUT
  8,215 bytes on stderr

  native engine ready after 27.3s
  init: native engine ready after 27.3s
  nativesearch d4c5 depth 14 score 31 nodes 2626774 4315ms clock 120000
  nativesearch c1f4 depth 14 score 31 nodes 862240 1418ms clock 116181
  nativesearch d1c1 depth 13 score 32 nodes 827676 1304ms clock 115261
  nativesearch h2h3 depth 13 score 37 nodes 2671207 4564ms clock 114455
  nativesearch g3g4 depth 12 score 21 nodes 1184305 2016ms clock 110387
  nativesearch b2b3 depth 15 score 33 nodes 3571995 5948ms clock 108866
  nativesearch f4d2 depth 14 score 21 nodes 1668746 2694ms clock 103416
  nativesearch d2h6 depth 13 score 73 nodes 1199574 1968ms clock 101219
  nativesearch h6g7 depth 13 score 92 nodes 1613031 2527ms clock 99748
  nativesearch c1e3 depth 13 score 115 nodes 779022 1255ms clock 97718
  nativesearch c3b5 depth 13 score 102 nodes 1471042 2291ms clock 96960
  nativesearch f3g5 depth 14 score 85 nodes 2053510 3159ms clock 95167
  nativesearch f1d1 depth 12 score 118 nodes 766781 1163ms clock 92506
  nativesearch g5e6 depth 12 score 121 nodes 916531 1374ms clock 91840
  nativesearch b5c3 depth 14 score 128 nodes 852186 1257ms clock 90960
  nativesearch e3c1 depth 14 score 103 nodes 2274699 3486ms clock 90200
  nativesearch f2f4 depth 15 score 97 nodes 5144338 7730ms clock 87212
  nativesearch e2e3 depth 15 score 108 nodes 1168239 1744ms clock 79979
  nativesearch b3c4 depth 16 score 110 nodes 3928800 5675ms clock 78732
  nativesearch d1d8 depth 15 score 107 nodes 4310603 6852ms clock 73554
  nativesearch c3e4 depth 14 score 144 nodes 1181805 1606ms clock 67199
  nativesearch c1b2 depth 13 score 123 nodes 1648931 2287ms clock 66025
  nativesearch g4g5 depth 13 score 122 nodes 1089563 1498ms clock 64236
  nativesearch e4g5 depth 14 score 102 nodes 736014 986ms clock 63235
  nativesearch g2c6 depth 13 score 87 nodes 2485958 3066ms clock 62746
  nativesearch e3f4 depth 15 score 61 nodes 3028104 3918ms clock 60178
  nativesearch a1e1 depth 14 score 61 nodes 1137534 1429ms clock 56757
  nativesearch g1h2 depth 14 score 61 nodes 1477940 1938ms clock 55826
  nativesearch b2e5 depth 14 score 61 nodes 1240554 1516ms clock 54385
  nativesearch g5e6 depth 15 score 56 nodes 3554481 4092ms clock 53367
  nativesearch e1e5 depth 14 score 46 nodes 2303939 2474ms clock 49772
  nativesearch f4f5 depth 11 score 50 nodes 974070 1015ms clock 47796
  nativesearch e6g5 depth 12 score 53 nodes 3075850 3293ms clock 47279
  nativesearch e5c5 depth 13 score 64 nodes 1652447 1758ms clock 44483
  nativesearch c5e5 depth 14 score 25 nodes 3448502 3514ms clock 43224
  nativesearch h2g3 depth 14 score 46 nodes 2540176 2631ms clock 40207
  nativesearch c4c5 depth 16 score 46 nodes 2393988 2490ms clock 38072
  nativesearch g3f3 depth 16 score 40 nodes 2755892 2809ms clock 36081
  nativesearch c5c6 depth 14 score 40 nodes 6600065 6793ms clock 33768
  nativesearch e5a5 depth 14 score 28 nodes 931284 974ms clock 27473
  nativesearch f3f4 depth 13 score 28 nodes 2240673 2256ms clock 26998
  nativesearch f4e5 depth 14 score 27 nodes 1408499 1446ms clock 25239
  nativesearch a5a8 depth 13 score 27 nodes 973347 987ms clock 24291
  nativesearch a8a7 depth 15 score 27 nodes 1150533 1151ms clock 23802
  nativesearch a7a6 depth 16 score 27 nodes 912457 902ms clock 23149
  nativesearch a6a8 depth 9 score 59 nodes 569702 690ms clock 22745
  nativesearch g5e6 depth 10 score 59 nodes 637780 658ms clock 22553
  nativesearch e5f4 depth 11 score 78 nodes 1718643 1806ms clock 22393
  nativesearch f4g5 depth 13 score 72 nodes 1072355 1122ms clock 21085
  nativesearch g5h4 depth 11 score 90 nodes 562501 561ms clock 20461
  nativesearch e6g5 depth 13 score 102 nodes 1193262 1188ms clock 20398
  nativesearch g5f7 depth 12 score 116 nodes 1393392 1482ms clock 19700
  nativesearch a8a7 depth 13 score 118 nodes 1170392 1183ms clock 18716
  nativesearch f7h6 depth 13 score 118 nodes 3583288 3772ms clock 18031
  nativesearch h4g5 depth 14 score 97 nodes 2307413 2385ms clock 14757
  nativesearch h6g4 depth 10 score 112 nodes 1577073 1613ms clock 12871
  nativesearch g5f4 depth 12 score 146 nodes 1916713 1952ms clock 11756
  nativesearch a7a6 depth 12 score 144 nodes 531106 578ms clock 10303
  nativesearch f4g5 de
  [2,145 bytes dropped]
  s clock 8801
  nativesearch b8b5 depth 12 score -27 nodes 1209212 1075ms clock 8899
  nativesearch h3h4 depth 10 score -18 nodes 415628 385ms clock 8322
  nativesearch b5b6 depth 9 score -16 nodes 293588 286ms clock 8435
  nativesearch b6a6 depth 10 score -5 nodes 378606 377ms clock 8646
  nativesearch a6a7 depth 10 score -4 nodes 248480 239ms clock 8768
  nativesearch h8g8 depth 10 score -11 nodes 1081865 1028ms clock 9026
  nativesearch h7f8 depth 9 score -15 nodes 610491 602ms clock 8497
  nativesearch g8h7 depth 10 score -12 nodes 1242336 1196ms clock 8393
  nativesearch f8e6 depth 10 score -23 nodes 653261 590ms clock 7695
  nativesearch e6g7 depth 10 score -9 nodes 745048 686ms clock 7602
  nativesearch g7f5 depth 10 score -9 nodes 252509 201ms clock 7413
  nativesearch h7g7 depth 10 score -23 nodes 274238 235ms clock 7710
  nativesearch a7f7 depth 9 score -20 nodes 426396 367ms clock 7974
  nativesearch f7c7 depth 11 score -18 nodes 828750 700ms clock 8105
  nativesearch c7a7 depth 10 score -21 nodes 769908 629ms clock 7903
  nativesearch a7a4 depth 10 score -18 nodes 589256 526ms clock 7769
  nativesearch g7f7 depth 9 score -18 nodes 243919 193ms clock 7740
  nativesearch a4a1 depth 9 score -22 nodes 588923 532ms clock 8045
  nativesearch a1a2 depth 11 score -21 nodes 590107 495ms clock 8011
  nativesearch a2f2 depth 12 score -21 nodes 1550273 1297ms clock 8014
  nativesearch f2f1 depth 11 score -22 nodes 1190806 988ms clock 7215
  nativesearch f1g1 depth 12 score -22 nodes 558372 469ms clock 6725
  nativesearch g1g2 depth 9 score -19 nodes 331305 286ms clock 6754
  nativesearch g2c2 depth 11 score -21 nodes 1072899 883ms clock 6964
  nativesearch f7e6 depth 9 score -20 nodes 229544 192ms clock 6573
  nativesearch e6f5 depth 10 score -20 nodes 338597 290ms clock 6880
  nativesearch f5e4 depth 12 score -21 nodes 616576 504ms clock 7088
  nativesearch c2h2 depth 13 score -21 nodes 1027598 870ms clock 7083
  nativesearch e4d3 depth 13 score -21 nodes 622111 505ms clock 6711
  nativesearch d3d4 depth 13 score -21 nodes 494505 417ms clock 6704
  nativesearch h2b2 depth 12 score -22 nodes 870166 720ms clock 6786
  nativesearch d4e4 depth 12 score -21 nodes 801448 641ms clock 6564
  nativesearch e4f3 depth 11 score -20 nodes 192199 151ms clock 6421
  nativesearch b2a2 depth 14 score -21 nodes 548938 447ms clock 6768
  nativesearch a2h2 depth 14 score -21 nodes 679827 532ms clock 6819
  nativesearch h2g2 depth 15 score -21 nodes 529093 411ms clock 6786
  nativesearch f3f4 depth 15 score -21 nodes 545110 418ms clock 6873
  nativesearch f4e4 depth 13 score -21 nodes 784739 673ms clock 6953
  nativesearch g2h2 depth 14 score -21 nodes 440799 359ms clock 6777
  nativesearch e4d4 depth 11 score -21 nodes 237241 192ms clock 6916
  nativesearch h2e2 depth 12 score -21 nodes 340556 271ms clock 7223
  nativesearch e2a2 depth 15 score -21 nodes 846578 656ms clock 7450
  nativesearch d4e4 depth 15 score -21 nodes 646478 504ms clock 7292
  nativesearch a2h2 depth 14 score -21 nodes 433691 321ms clock 7286
  nativesearch e4d5 depth 14 score -22 nodes 682692 532ms clock 7306
  nativesearch d5d4 depth 14 score -22 nodes 822329 642ms clock 7272
  nativesearch d4e4 depth 13 score -22 nodes 582132 457ms clock 7129
  nativesearch e4d3 depth 12 score -21 nodes 563253 448ms clock 7170
  nativesearch d3d2 depth 12 score -22 nodes 276108 214ms clock 7221
  nativesearch h2h1 depth 13 score -21 nodes 518254 415ms clock 7505
  nativesearch h1h8 depth 13 score -21 nodes 410862 337ms clock 7588
  nativesearch d2d3 depth 14 score -22 nodes 1101736 896ms clock 7750
  nativesearch d3c4 depth 13 score -22 nodes 460920 362ms clock 7351
  nativesearch h8a8 depth 14 score -30 nodes 1348787 1009ms clock 7487
  nativesearch c4d3 depth 23 score -30 nodes 846212 543ms clock 6976
  nativesearch d3e4 depth 27 score -30 nodes 778765 437ms clock 6931
  nativesearch a8a4 depth 29 score -30 nodes 927385 524ms clock 6992
  nativesearch a4a8 depth 40 score -30 nodes 563191 254ms clock 6967
  nativesearch a8a6 depth 40 score -30 nodes 158307 71ms clock 7211
  nativesearch a6g6 depth 40 score -30 nodes 47393 28ms clock 7638
  nativesearch g6e6 depth 40 score -30 nodes 7264 5ms clock 8107

Email hello@aichessathon.com with this file if anything here is unclear.
