AI CHESSATHON MATCH LOG
=======================

MATCH
  Round          Rated 72
  Team           catfish
  Colour         White
  Opponent       AI Fellows
  Opening        Nimzo-Indian Defence
  Start FEN      rnbq1rk1/pp3ppp/4pn2/2p5/1bBP4/2N1P2P/PP3PP1/R1BQK1NR w KQ - 0 8
  You moved      First
  Machine        w-e72a35
  Finished       2026-09-08 18:10:45 UTC
  Match ID       bd0b6c32-2711-42a8-aae4-44696e293c91

INIT
  Ready in       26.5 s
  Budget         90.0 s
  Used           29 percent

CLOCK
  Base           120.0 s plus 0.5 s per move
  Moves          247
  Time used      237.3 s
  Slowest        12.4 s on move 21
  Fastest        0.0 s on move 27
  Average        1.0 s
  Left at end    6.2 s

RESULT
  Drawn by insufficient material
  Game lasted 478.5 s

MOVES
    #  move          time     clock left
  141  Bf3           0.8 s        7.0 s
  142  Kc6           0.5 s        7.0 s
  143  Bd5           0.5 s        7.0 s
  144  Be6           1.1 s        6.4 s
  145  Bd7           0.5 s        6.4 s
  146  Bc8           0.4 s        6.5 s
  147  Ba6           0.6 s        6.4 s
  148  Be2           0.4 s        6.5 s
  149  Kc7           0.4 s        6.6 s
  150  Bd1           0.4 s        6.7 s
  151  Kd7           0.6 s        6.5 s
  152  Kc6           0.5 s        6.6 s
  153  Kd6           0.4 s        6.7 s
  154  Be2           0.2 s        7.0 s
  155  Kd7           0.5 s        7.0 s
  156  Kc6           0.5 s        7.0 s
  157  Bd1           0.5 s        7.1 s
  158  Bf3           0.3 s        7.3 s
  159  Kb7           0.7 s        7.1 s
  160  Bd5           0.4 s        7.2 s
  161  Be6           0.6 s        7.1 s
  162  Bd7           0.2 s        7.4 s
  163  Kc6           0.5 s        7.4 s
  164  Bc8           0.5 s        7.4 s
  165  Kb7           0.2 s        7.6 s
  166  Ka6           0.4 s        7.7 s
  167  Kb5           0.4 s        7.8 s
  168  Bd7           0.6 s        7.7 s
  169  Be6           0.5 s        7.7 s
  170  Ka6           0.3 s        7.9 s
  171  Ka7           0.4 s        8.0 s
  172  Bc8           0.7 s        7.8 s
  173  Bd7           1.5 s        6.8 s
  174  Ka6           0.3 s        7.0 s
  175  Kb5           0.4 s        7.1 s
  176  Ka6           1.4 s        6.1 s
  177  Be6           1.3 s        5.4 s
  178  Bd5           0.6 s        5.3 s
  179  Bc4           0.3 s        5.5 s
  180  Be2           1.2 s        4.8 s
  181  Bd1           0.2 s        5.1 s
  182  Bb3           0.3 s        5.3 s
  183  f6            0.2 s        5.6 s
  184  Be6           0.2 s        5.9 s
  185  Bxf5          0.4 s        6.0 s
  186  Ka7           0.5 s        5.9 s
  187  Bc8           0.5 s        5.9 s
  188  Bb7           0.3 s        6.1 s
  189  Bf3           0.4 s        6.2 s
  190  Bd1           0.4 s        6.3 s
  191  Kb7           0.2 s        6.6 s
  192  Kc6           0.5 s        6.7 s
  193  Kb5           0.5 s        6.7 s
  194  Bf3           0.4 s        6.7 s
  195  Kc6           0.5 s        6.7 s
  196  Kb7           0.4 s        6.8 s
  197  Bd5           0.4 s        6.9 s
  198  Bc4           0.6 s        6.8 s
  199  Be6           0.7 s        6.6 s
  200  Bd7           0.4 s        6.6 s
  201  Ka6           0.5 s        6.6 s
  202  Be6           0.5 s        6.7 s
  203  Bc8           0.4 s        6.8 s
  204  Kb5           0.2 s        7.1 s
  205  Bf5           0.5 s        7.1 s
  206  Kc6           0.3 s        7.3 s
  207  Bd7           0.2 s        7.7 s
  208  Be6           1.0 s        7.2 s
  209  Bc8           0.4 s        7.2 s
  210  Kb7           0.2 s        7.5 s
  211  Bf5           0.4 s        7.6 s
  212  Bd3           0.6 s        7.6 s
  213  Be2           0.5 s        7.5 s
  214  Kc6           0.9 s        7.1 s
  215  Kb5           0.4 s        7.2 s
  216  Ka6           1.1 s        6.6 s
  217  Bd1           1.3 s        5.8 s
  218  Bf3           0.2 s        6.1 s
  219  Ka7           0.4 s        6.2 s
  220  Bb7           0.4 s        6.3 s
  221  Bd5           0.3 s        6.5 s
  222  Be4           0.5 s        6.5 s
  223  Bc6           0.4 s        6.6 s
  224  Bd7           1.4 s        5.7 s
  225  Bc8           0.3 s        5.9 s
  226  Bf5           1.2 s        5.2 s
  227  Kb7           1.1 s        4.5 s
  228  Bd7           1.1 s        3.9 s
  229  Be6           0.9 s        3.6 s
  230  Bc8           0.8 s        3.3 s
  231  Kb8           0.5 s        3.2 s
  232  Kb7           0.4 s        3.3 s
  233  g5            0.4 s        3.4 s
  234  h6            0.2 s        3.7 s
  235  Ka6           0.3 s        3.9 s
  236  Bb7           0.1 s        4.3 s
  237  Bd5           0.3 s        4.4 s
  238  Bxg2+         0.3 s        4.7 s
  239  Kb5           0.2 s        5.0 s
  240  h7            0.4 s        5.1 s
  241  h8=Q          0.3 s        5.3 s
  242  Kxb6          0.5 s        5.3 s
  243  a5            0.3 s        5.4 s
  244  Kc6           0.4 s        5.6 s
  245  Kb7           0.4 s        5.7 s
  246  a6            0.5 s        5.8 s
  247  a7            0.1 s        6.2 s

OUTPUT
  8,215 bytes on stderr

  native engine ready after 25.7s
  init: native engine ready after 25.7s
  nativesearch g1e2 depth 12 score -6 nodes 1389083 2076ms clock 120000
  nativesearch c4d3 depth 15 score -9 nodes 1926575 3005ms clock 118421
  nativesearch e1g1 depth 16 score -4 nodes 2284172 3597ms clock 115914
  nativesearch e3d4 depth 14 score 1 nodes 2146810 3218ms clock 112810
  nativesearch f1e1 depth 13 score -18 nodes 1673320 2622ms clock 110090
  nativesearch a2a3 depth 12 score -26 nodes 793480 1302ms clock 107964
  nativesearch c1f4 depth 13 score -30 nodes 1891557 3117ms clock 107159
  nativesearch d1b1 depth 14 score -19 nodes 2009424 3202ms clock 104541
  nativesearch e1d1 depth 14 score 69 nodes 1672790 2555ms clock 101837
  nativesearch d3e2 depth 14 score 30 nodes 729328 1072ms clock 99779
  nativesearch e2b5 depth 15 score 71 nodes 1677205 2383ms clock 99203
  nativesearch c3d5 depth 15 score 55 nodes 1267255 1843ms clock 97318
  nativesearch b5d3 depth 15 score 70 nodes 3192813 4591ms clock 95973
  nativesearch b1c2 depth 14 score 70 nodes 706175 1059ms clock 91880
  nativesearch d3c4 depth 15 score 48 nodes 4131954 6120ms clock 91318
  nativesearch a1d1 depth 12 score 65 nodes 1199748 1715ms clock 85697
  nativesearch c2a4 depth 14 score 21 nodes 1705305 2394ms clock 84478
  nativesearch a4a6 depth 15 score 35 nodes 1837272 2481ms clock 82582
  nativesearch c4e6 depth 15 score 36 nodes 1654966 2293ms clock 80599
  nativesearch e6d5 depth 17 score 25 nodes 8491277 11341ms clock 78803
  nativesearch a6a7 depth 16 score 25 nodes 9942338 12368ms clock 67961
  nativesearch d5f3 depth 14 score 10 nodes 3767381 4411ms clock 56090
  nativesearch d1e1 depth 14 score 28 nodes 1087099 1405ms clock 52177
  nativesearch a7e7 depth 15 score 20 nodes 4591343 5610ms clock 51271
  nativesearch e7e6 depth 13 score 24 nodes 1648353 2089ms clock 46159
  nativesearch f3h5 depth 15 score 48 nodes 2348787 2843ms clock 44568
  nativesearch e6e1 depth 0 score 0 nodes 0 0ms clock 42224
  nativesearch g2g3 depth 15 score 48 nodes 774277 901ms clock 42721
  nativesearch e1c1 depth 17 score -7 nodes 5978144 5491ms clock 42318
  nativesearch a3a4 depth 18 score -6 nodes 912031 806ms clock 37325
  nativesearch h5g6 depth 16 score 24 nodes 1964831 1864ms clock 37017
  nativesearch g6f5 depth 18 score 95 nodes 1742130 1553ms clock 35651
  nativesearch f5g6 depth 18 score 94 nodes 1607508 1346ms clock 34597
  nativesearch g1f1 depth 19 score 95 nodes 1613227 1401ms clock 33748
  nativesearch g6h5 depth 18 score 94 nodes 836187 706ms clock 32845
  nativesearch h5e2 depth 22 score 94 nodes 2582290 2131ms clock 32638
  nativesearch e2g4 depth 21 score 94 nodes 761560 631ms clock 31005
  nativesearch g4d1 depth 22 score 94 nodes 1687764 1442ms clock 30872
  nativesearch h3h4 depth 21 score 93 nodes 2830039 2415ms clock 29928
  nativesearch d1c2 depth 19 score 93 nodes 1160241 954ms clock 28011
  nativesearch h4h5 depth 22 score 93 nodes 2302255 1890ms clock 27555
  nativesearch c2g6 depth 21 score 93 nodes 679616 571ms clock 26163
  nativesearch f2f4 depth 20 score 99 nodes 1667707 1370ms clock 26090
  nativesearch g6c2 depth 19 score 99 nodes 814154 653ms clock 25219
  nativesearch c2e4 depth 22 score 99 nodes 1555987 1197ms clock 25064
  nativesearch f1e2 depth 22 score 99 nodes 1675440 1398ms clock 24366
  nativesearch e2d1 depth 20 score 99 nodes 874294 723ms clock 23466
  nativesearch d1e1 depth 22 score 99 nodes 1590617 1298ms clock 23241
  nativesearch e1f2 depth 23 score 99 nodes 1165903 879ms clock 22441
  nativesearch e4b1 depth 23 score 99 nodes 2704044 2269ms clock 22060
  nativesearch b1d3 depth 20 score 98 nodes 1365096 1085ms clock 20289
  nativesearch f2f1 depth 17 score 98 nodes 423098 343ms clock 19701
  nativesearch d3g6 depth 20 score 98 nodes 1379752 1079ms clock 19856
  nativesearch g6h7 depth 22 score 98 nodes 1222144 975ms clock 19275
  nativesearch h7f5 depth 22 score 98 nodes 1104090 860ms clock 18798
  nativesearch f5b1 depth 22 score 98 nodes 4897068 3937ms clock 18437
  nativesearch b1d3 depth 22 score 94 nodes 1921139 1477ms clock 14997
  nativesearch d3g6 depth 21 score 94 nodes 2012348 1642ms clock 14018
  nativesearch g6c2 depth 21 score 94 nodes 46
  [8,416 bytes dropped]
  ore 74 nodes 659913 520ms clock 5962
  nativesearch f5c8 depth 23 score 74 nodes 710099 516ms clock 5940
  nativesearch c8b7 depth 19 score 74 nodes 380201 297ms clock 5922
  nativesearch b7f3 depth 20 score 74 nodes 551948 392ms clock 6123
  nativesearch f3d1 depth 23 score 74 nodes 581835 426ms clock 6229
  nativesearch a7b7 depth 22 score 74 nodes 193656 162ms clock 6302
  nativesearch b7c6 depth 23 score 74 nodes 634550 461ms clock 6638
  nativesearch c6b5 depth 24 score 74 nodes 679919 501ms clock 6676
  nativesearch d1f3 depth 23 score 74 nodes 594192 425ms clock 6674
  nativesearch b5c6 depth 23 score 74 nodes 699994 498ms clock 6747
  nativesearch c6b7 depth 24 score 74 nodes 618606 441ms clock 6747
  nativesearch f3d5 depth 25 score 74 nodes 629895 438ms clock 6805
  nativesearch d5c4 depth 25 score 74 nodes 762379 580ms clock 6865
  nativesearch c4e6 depth 26 score 74 nodes 977499 730ms clock 6783
  nativesearch e6d7 depth 26 score 74 nodes 610621 429ms clock 6552
  nativesearch b7a6 depth 27 score 74 nodes 663740 476ms clock 6621
  nativesearch d7e6 depth 23 score 74 nodes 655710 481ms clock 6643
  nativesearch e6c8 depth 25 score 74 nodes 502001 382ms clock 6661
  nativesearch a6b5 depth 24 score 74 nodes 222037 171ms clock 6777
  nativesearch c8f5 depth 27 score 74 nodes 663640 467ms clock 7105
  nativesearch b5c6 depth 25 score 74 nodes 399637 291ms clock 7136
  nativesearch f5d7 depth 25 score 74 nodes 225148 176ms clock 7344
  nativesearch d7e6 depth 25 score 74 nodes 1368081 1006ms clock 7666
  nativesearch e6c8 depth 26 score 74 nodes 570618 432ms clock 7158
  nativesearch c6b7 depth 26 score 74 nodes 293624 218ms clock 7224
  nativesearch c8f5 depth 26 score 74 nodes 482407 354ms clock 7504
  nativesearch f5d3 depth 24 score 74 nodes 798030 588ms clock 7649
  nativesearch d3e2 depth 25 score 74 nodes 654844 532ms clock 7560
  nativesearch b7c6 depth 26 score 74 nodes 1282642 893ms clock 7526
  nativesearch c6b5 depth 27 score 74 nodes 510053 389ms clock 7131
  nativesearch b5a6 depth 26 score 74 nodes 1512399 1105ms clock 7241
  nativesearch e2d1 depth 24 score 74 nodes 1753762 1329ms clock 6634
  nativesearch d1f3 depth 20 score 30 nodes 245360 188ms clock 5803
  nativesearch a6a7 depth 24 score 74 nodes 585228 427ms clock 6113
  nativesearch f3b7 depth 24 score 74 nodes 531009 360ms clock 6185
  nativesearch b7d5 depth 26 score 74 nodes 501555 335ms clock 6323
  nativesearch d5e4 depth 25 score 74 nodes 698534 508ms clock 6486
  nativesearch e4c6 depth 25 score 74 nodes 609921 408ms clock 6476
  nativesearch c6d7 depth 27 score 74 nodes 1814368 1397ms clock 6566
  nativesearch d7c8 depth 25 score 74 nodes 394701 297ms clock 5667
  nativesearch c8f5 depth 23 score 74 nodes 1494973 1209ms clock 5868
  nativesearch a7b7 depth 24 score 74 nodes 1431633 1125ms clock 5158
  nativesearch f5d7 depth 23 score 74 nodes 1359872 1097ms clock 4531
  nativesearch d7e6 depth 22 score 74 nodes 1142826 874ms clock 3932
  nativesearch e6c8 depth 22 score 74 nodes 1092882 799ms clock 3556
  nativesearch b7b8 depth 22 score -30 nodes 709953 545ms clock 3256
  nativesearch b8b7 depth 19 score -30 nodes 503333 399ms clock 3210
  nativesearch g4g5 depth 18 score -30 nodes 511117 390ms clock 3309
  nativesearch h5h6 depth 14 score -4 nodes 260031 223ms clock 3416
  nativesearch b7a6 depth 16 score -5 nodes 376756 315ms clock 3691
  nativesearch c8b7 depth 15 score -29 nodes 130770 100ms clock 3875
  nativesearch b7d5 depth 15 score -30 nodes 429386 330ms clock 4273
  nativesearch d5g2 depth 18 score -30 nodes 389267 278ms clock 4441
  nativesearch a6b5 depth 19 score -30 nodes 268442 193ms clock 4661
  nativesearch h6h7 depth 21 score -30 nodes 523944 374ms clock 4967
  nativesearch h7h8q depth 17 score -30 nodes 380580 265ms clock 5091
  nativesearch b5b6 depth 20 score -30 nodes 803483 528ms clock 5325
  nativesearch a4a5 depth 20 score -30 nodes 549895 348ms clock 5294
  nativesearch b6c6 depth 21 score -30 nodes 539399 348ms clock 5444
  nativesearch c6b7 depth 24 score -30 nodes 587397 363ms clock 5594
  nativesearch a5a6 depth 26 score -30 nodes 777546 451ms clock 5729
  nativesearch a6a7 depth 40 score -30 nodes 267036 126ms clock 5777

Email hello@aichessathon.com with this file if anything here is unclear.
